,affiliation,model_size,question,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,THREAT,PROFANITY,ATTACK_ON_AUTHOR,ATTACK_ON_COMMENTER,INFLAMMATORY,LIKELY_TO_REJECT,SPAM,INCOHERENT,UNSUBSTANTIAL,SEXUALLY_EXPLICIT,OBSCENE,model
1970,r,625,comment,0.25462922,0.012054443000000001,0.14019285,0.06337463,0.2836219,0.029186781000000002,0.11924047,0.2093266,0.6627649999999999,0.39413244000000003,0.07360897,0.5840366,0.66304886,0.020759964000000002,0.39562574,human
1971,r,625,comment,0.035220183,0.0015544891,0.006104646300000001,0.012072904,0.008323951000000001,0.016137952,0.026800599,0.24632195,0.18552557,0.65075403,0.028907955000000003,0.44021259999999995,0.8923531,0.008374758000000001,0.05139643,human
1972,r,625,comment,0.036634352,0.0007677078,0.0029043318000000003,0.018065477,0.0071588317,0.010757872,0.031069323000000003,0.25635207,0.22142635,0.42421684,0.0046053184,0.19294861,0.79885787,0.0028309042,0.030776838,human
1973,r,625,comment,0.011749268,0.0010490417000000001,0.003385304,0.007493876000000001,0.0073789097,0.013439372000000002,0.023887927,0.35379702,0.09324311,0.5854045,0.012157743,0.33714586,0.86343884,0.007961918,0.01969051,human
1974,r,625,comment,0.09958932000000001,0.0016307831,0.0034223017000000002,0.04207976,0.0070552654,0.02167175,0.053792626,0.15387028,0.6500094,0.7509258,0.03314453,0.7056709,0.8073678999999999,0.007726009000000001,0.41128057,human
1975,r,625,comment,0.011372286,0.0006675720000000001,0.0019516370000000002,0.007835878000000001,0.0063950317000000005,0.010723713000000001,0.12281299999999999,0.3151023,0.16936576,0.41705433000000003,0.49454662,0.66492957,0.3141912,0.0038040273000000003,0.09848867,human
1976,r,625,comment,0.059232414000000004,0.0028800964,0.009175468,0.022190686,0.0076507707,0.017504321,0.00050159876,0.0004916254499999999,0.010880226000000002,0.7168124300000001,0.989899,0.81448025,0.13217145,0.010969753,0.007948799000000001,human
1977,r,625,comment,0.014136819,0.0012397766000000001,0.0036072910000000003,0.008538882000000001,0.007365964000000001,0.014634945000000002,0.046636473000000005,0.08843404,0.082208216,0.40839046,0.27731523,0.8022853,0.9214983600000001,0.01209032,0.040106308,human
1978,r,625,comment,0.17285149,0.0061035156000000005,0.008768492000000001,0.031807642000000004,0.10236332000000001,0.068967216,0.13865532,0.28614008,0.20130503,0.64177024,0.3675006,0.83466136,0.8307521999999999,0.025006320000000002,0.1319571,human
1979,r,625,comment,0.07291982,0.0014591217,0.0069185994,0.030816011,0.006848133,0.015215653,0.062153086,0.72761667,0.44788623,0.2697246,0.020166542000000003,0.66741323,0.43096769999999995,0.005897717,0.03781396,human
1980,r,625,comment,0.012628891500000001,0.000910759,0.0017666477000000001,0.007797878,0.0069646453,0.012824506500000001,0.03217278,0.12850545,0.0365454,0.16187197,0.049265670000000004,0.26859915,0.7869244,0.008020895,0.023298193000000002,human
1981,r,625,comment,0.06817148,0.0013542175,0.008620501000000001,0.029273475,0.0067639860000000005,0.01402008,0.015859745,0.024568487,0.07660955,0.1249607,0.027840508000000003,0.1572613,0.060747840000000004,0.005189991000000001,0.018330952,human
1982,r,625,comment,0.039462693,0.002231598,0.0016834025,0.016784932000000002,0.013631714000000001,0.016547862,0.13124336,0.20712182,0.41451269999999996,0.71073383,0.045009896,0.5842873,0.8579435999999999,0.013210886000000002,0.3511468,human
1983,r,625,comment,0.23451406,0.0062942505,0.2795294,0.061626412000000005,0.0074824756,0.028503597000000002,0.023093706000000002,0.034293026000000004,0.17429845,0.602233,0.6039158,0.51535714,0.5683881,0.033499032000000005,0.064898044,human
1984,r,625,comment,0.041172907,0.0010871887,0.0024233595,0.017292,0.009722093000000001,0.011902207000000001,0.044652537000000006,0.19984549999999998,0.7081025999999999,0.38606989999999997,0.033692982,0.56817085,0.55089754,0.004482265,0.3055139,human
1985,r,625,comment,0.081625134,0.0023651123,0.029917859,0.024768941000000003,0.0074954215,0.024609445,0.049287725000000004,0.020238545,0.31280673000000003,0.5522385,0.12132349,0.64802843,0.8551392999999999,0.018400878000000002,0.08437959,human
1986,r,625,comment,0.037341440000000004,0.0025749207,0.0071035884,0.014352918000000001,0.009592636,0.023721304000000002,0.5074430999999999,0.41077834,0.09429969,0.23366258,0.8733445999999999,0.6023449,0.61858124,0.019226557000000002,0.021656414000000002,human
1987,r,625,comment,0.10522962,0.0032234192,0.05612817,0.023608726,0.0287245,0.017572641,0.00095077633,0.0020193441,0.28854379999999996,0.87923026,0.9590443999999999,0.950471,0.41942257,0.008197826,0.07321315,human
1988,r,625,comment,0.15269235,0.007095337,0.013445892000000001,0.04207976,0.011249693,0.09098661,0.1119308,0.78280646,0.34562135,0.92982215,0.04011736,0.6781168,0.8022345999999999,0.072454974,0.54760444,human
1989,r,625,comment,0.3389984,0.009689331,0.10221587,0.3388922,0.009799767000000001,0.08775374,0.09343219999999999,0.6883838999999999,0.8041974,0.5443051,0.009494943,0.28707879999999997,0.7149430999999999,0.012326228000000002,0.031689797,human
1990,r,625,comment,0.09394901,0.003929138,0.009101473,0.025155678,0.0077672824000000005,0.0569429,0.02028887,0.10320504,0.16384113,0.86150235,0.10707344,0.63555354,0.9206603,0.018282922,0.03486757,human
1991,r,625,comment,0.14950264,0.0040245056000000005,0.08666438,0.034672357,0.009903334000000001,0.017094411,0.014612624000000001,0.09521916,0.37963468,0.5291125999999999,0.13741317,0.6785133,0.49140576,0.010792822,0.08176920600000001,human
1992,r,625,comment,0.022256956,0.0010490417000000001,0.0032743104,0.010666896,0.008440462000000001,0.0118338885,0.08952987,0.15104616,0.36891052,0.6653152999999999,0.07045649999999999,0.785608,0.8551392999999999,0.0056618084,0.14559494,human
1993,r,625,comment,0.024849601000000002,0.0016975403,0.005956655000000001,0.009469888000000001,0.008945347000000001,0.01805087,0.13278084,0.27904397000000003,0.07703091000000001,0.5671143,0.2179972,0.7898434999999999,0.8579435999999999,0.017575197,0.036971074,human
1994,r,625,comment,0.009361716,0.0006246567,0.00207188,0.0068668723,0.0068416605,0.010125926,0.017712139000000002,0.31076616,0.17958763,0.78317213,0.7351184,0.7277433999999999,0.8211226500000001,0.004482265,0.10713217400000001,human
