affiliation,model_size,type,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,THREAT,PROFANITY,ATTACK_ON_AUTHOR,ATTACK_ON_COMMENTER,INFLAMMATORY,LIKELY_TO_REJECT,SPAM,INCOHERENT,UNSUBSTANTIAL,SEXUALLY_EXPLICIT,OBSCENE
progressive,25,human,0.41168427,0.023076924,0.4830652,0.36798462,0.013321015,0.18417911,0.42902985,0.9307536,0.6283672,0.716636,0.010713731,0.4419224,0.163743,0.036801755,0.14629975
progressive,25,human,0.4826145,0.023927659,0.55044734,0.36798462,0.009644418,0.24631839,0.14395937,0.59201556,0.85235363,0.97106767,0.021762965,0.46860716,0.62408215,0.030196311,0.36767495
progressive,25,human,0.05898502,0.0012588501,0.015053716,0.024897853,0.0070034824,0.01354185,0.117949285,0.37418938,0.6501826,0.49358097,0.065837316,0.5852141,0.7224665,0.0064285113,0.04583155
progressive,25,human,0.3969567,0.015867263,0.011839314,0.15698463,0.00866054,0.5188411,0.06544534,0.038077615,0.67834693,0.8995346,0.05387837,0.1956702,0.5878485,0.03373494,0.98735124
progressive,25,human,0.54823303,0.021548226,0.01666154,0.5130944,0.008298059,0.4131548,0.6120962,0.70899266,0.43843746,0.766772,0.05937183,0.41198447,0.9206603,0.03750948,0.06225186
progressive,25,human,0.25462922,0.0044441223,0.004439743,0.24287975,0.0065115434,0.08840031,0.24293838,0.3884377,0.23018637,0.8917946,0.0975294,0.56876093,0.8923531,0.0150981555,0.2586567
progressive,25,human,0.2854699,0.012833111,0.13591312,0.07333439,0.027861187,0.07643871,0.032469552,0.91189426,0.7057999,0.92431283,0.0027305698,0.27705777,0.6339996,0.04132964,0.074316375
progressive,25,human,0.90451443,0.16960317,0.2127345,0.87225974,0.010214032,0.64080805,0.055500172,0.112085916,0.7086228,0.97106767,0.03486893,0.34842926,0.62091094,0.057053547,0.9830818
progressive,25,human,0.2553839,0.0037765503,0.020178653,0.2435641,0.007793174,0.029186781,0.041767944,0.0674376,0.44311842,0.19361514,0.007534066,0.19171551,0.4342183,0.010969753,0.024863763
progressive,25,human,0.081625134,0.0014591217,0.005105704,0.03522326,0.0062785195,0.015625564,0.060240265,0.7433129,0.3198679,0.46178898,0.013750746,0.5101991,0.61991674,0.00666442,0.18729052
progressive,25,human,0.2854699,0.010375977,0.35299334,0.07840354,0.0091524795,0.08322773,0.059220448,0.19888487,0.88178986,0.9073274,0.024527868,0.5910985,0.6707893,0.029016767,0.3995345
progressive,25,human,0.30854854,0.0045394897,0.017163984,0.28586254,0.0104988385,0.054437835,0.06514037,0.90257114,0.22816296,0.6581553,0.0060869916,0.23815078,0.6689567,0.010792822,0.018200036
progressive,25,human,0.73663366,0.12019568,0.01756594,0.30326313,0.008919456,0.83974665,0.067434564,0.15037858,0.34353206,0.99918854,0.008029456,0.073149,0.078656,0.20754583,0.99369305
progressive,25,human,0.010869644,0.0009727478,0.0026823445,0.0081208795,0.00746953,0.0127561875,0.09422456,0.035467364,0.02007585,0.19370049,0.92926395,0.7884582,0.680207,0.0075195893,0.026240718
progressive,25,human,0.04240986,0.0015830994,0.005660672,0.020256994,0.0065956907,0.018665737,0.010477703,0.10477329,0.18497506,0.7206309,0.0075666714,0.24706143,0.79885787,0.0122672515,0.15659866
progressive,25,human,0.15158679,0.0024414063,0.0033298072,0.06494803,0.00756015,0.02208166,0.25909874,0.59201556,0.43753248,0.866886,0.25913593,0.6902382,0.8579436,0.0058387397,0.15029395
